County,fips,spotted sucker,bowfin (dogfish),sauger,deepwater sculpin,sand shiner,black bullhead,lake whitefish,threespine stickleback,ninespine stickleback,channel catfish,silver redhorse,sunfish,least darter,smallmouth bass,river shiner,crappie,river redhorse,brown bullhead,logperch,bluegill,blacknose dace,alewife,central stoneroller,gizzard shad,freshwater drum,darters,shorthead redhorse,yellow bullhead,pugnose shiner,trout-perch,shiners,green sunfish,creek chub,crappie hybrid,hornyhead chub,northern sunfish,carpsucker,channel shiner,round whitefish,shortnose gar,bullhead minnow,bluntnose minnow,walleye,sea lamprey,longnose sucker,largemouth bass,mooneye,weed shiner,brook silverside,highfin carpsucker,black buffalo,bigmouth shiner,rock bass,finescale dace,rosyface shiner,minnow hybrid,longnose gar,rainbow darter,golden redhorse,river carpsucker,spotfin shiner,goldfish,suckers,brook trout,lake trout,lake sturgeon,river ruffe,northern pearl dace,lamprey,quillback,orangespotted sunfish,spoonhead sculpin,white perch,shovelnose sturgeon,iowa darter,tadpole madtom,pygmy whitefish,longnose dace,sculpin,tullibee (cisco),slimy sculpin,white crappie,chestnut lamprey,common carp,greater redhorse,brown trout,northern redbelly dace,pumpkinseed,freshwater tubenose goby,northern pike,minnows,common shiner,goldeye,river darter,carmine shiner,flathead catfish,smallmouth buffalo,banded killifish,emerald shiner,blacknose shiner,white sucker,muskellunge,splake,bloater,rainbow trout,hybrid sunfish,mottled sculpin,round goby,yellow perch,silver lamprey,blackside darter,walleye/sauger,northern hog sucker,bullheads,warmouth,northern pike-silverphase,golden shiner,central mudminnow,black crappie,bigmouth buffalo,burbot,mirror carp,lake chub,brassy minnow,johnny darter,stonecat,rainbow smelt,shortjaw cisco,blackchin shiner,brook stickleback,white bass,tiger muskellunge,cisco species,slenderhead darter,redhorse,mimic shiner,american eel,fathead minnow,buffalo,spottail shiner
Le Sueur,079,0,436,1,0,0,34027,0,0,0,32,0,0,16,5,0,0,0,1,15,29577,0,0,0,0,4003,0,0,1830,17,0,0,187,0,0,0,0,0,0,0,0,0,889,2797,0,0,1771,0,0,0,1,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,19,3,0,0,0,0,0,231,0,6492,0,0,0,737,0,1716,0,1,0,0,0,3,0,112,0,13,284,0,0,0,0,499,0,0,5772,0,0,0,0,0,0,0,1062,6,11246,408,0,0,0,0,39,0,0,0,46,1,482,0,0,0,0,1,0,745,0,149
Lyon,083,0,0,0,0,0,27595,0,0,0,62,0,0,0,175,0,0,0,688,0,1261,0,0,0,0,0,0,0,40,0,0,0,210,0,0,0,0,0,0,0,0,0,0,2731,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7289,0,0,0,1,0,0,0,0,0,0,115,0,1198,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,37,0,0,3778,0,0,0,0,0,0,0,0,0,3276,106,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,11270,0,0
Hubbard,057,0,623,0,0,0,3757,0,0,0,0,0,791,122,745,0,0,0,3482,313,58455,0,0,0,0,0,0,489,10960,58,0,0,137,11,0,1,9,0,0,0,0,0,6515,11292,0,0,11499,0,0,0,0,0,8,8551,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,322,21,0,62,0,2430,0,0,0,25,1,1,0,12499,0,13059,1,492,0,0,0,0,0,988,0,1445,7624,692,0,0,178,1838,88,0,26161,0,0,0,0,820,0,8,1631,169,11259,0,8,0,0,0,492,0,0,0,100,8,0,2,0,0,4,7086,0,79,0,995
Jackson,063,0,0,0,0,0,11663,0,0,0,364,0,13,0,17,0,0,0,11,1,463,0,0,0,0,12315,0,0,163,0,0,0,72,2,0,0,0,0,0,0,157,0,3,1846,0,0,739,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,65,0,0,0,2,5,0,0,0,0,0,15,0,1078,0,0,0,169,0,157,0,0,0,0,0,0,0,0,0,0,201,2,0,0,0,292,0,0,3940,0,0,0,0,0,0,0,10,0,1975,1880,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,8252,0,36
Chippewa,023,0,0,0,0,0,229,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,72,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Waseca,161,0,26,0,0,0,11463,0,0,0,2,0,0,0,0,0,1,0,0,0,21285,0,0,0,0,0,1,0,482,0,0,0,23,0,0,0,0,0,0,0,0,0,1168,497,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,1570,0,7168,0,0,0,390,0,2040,6,0,0,0,0,0,0,3,0,0,1036,0,0,0,0,109,0,0,836,0,0,0,0,0,0,0,286,0,6268,358,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,7346,0,104
Grant,051,0,38,0,0,0,9676,0,0,0,0,0,167,0,1,0,0,0,582,148,9064,0,0,0,0,0,0,2,1715,3,0,0,76,0,0,6,0,0,0,0,0,0,143,2370,0,0,949,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,8,9,0,0,0,0,0,74,0,481,0,0,0,63,0,793,0,0,0,0,0,0,0,46,0,0,755,0,0,0,0,101,0,0,3357,0,2,0,0,0,0,0,8,0,1494,33,0,0,0,0,11,0,0,0,11,6,0,0,0,0,0,0,0,48,0,213
Steele,147,0,0,0,0,0,263,0,0,0,1,0,0,0,0,0,0,0,2,0,5768,0,0,0,0,0,0,1,131,0,0,0,52,0,0,0,0,0,0,0,0,0,98,154,0,0,122,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,53,0,63,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,154,0,0,44,0,0,0,0,0,0,0,6,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Rock,133,0,0,0,0,0,100,0,0,0,9,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,43,22,0,0,0,0,0,0,0,0,0,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,286,0,0,0,6,0,13,0,1,0,0,0,0,0,0,0,0,102,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,631,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
Lake,075,0,0,0,5,0,13,895,0,1,0,0,3998,0,2322,0,0,0,0,84,7745,1,0,0,0,0,0,54,0,0,7,8,43,796,0,0,0,0,0,0,0,0,9107,11211,0,0,3186,0,0,0,0,0,0,3325,5226,0,0,0,0,0,0,0,0,0,1711,155,0,0,1117,0,0,0,0,0,0,1480,274,0,0,5,4600,4,0,0,0,0,224,1830,5060,0,6450,1716,1221,0,0,0,0,0,0,32,22227,25055,893,1744,0,318,65,85,0,111325,0,0,0,0,0,0,5,11432,211,2636,0,185,0,0,0,209,0,0,0,0,2909,0,4,0,0,0,4,0,53785,0,13153
Douglas,041,0,1198,0,0,0,29815,0,0,0,1,1,2391,409,181,0,0,0,2388,68,61142,0,0,0,0,25,68,115,13013,119,0,0,795,0,0,5,0,0,0,0,0,0,5327,9699,0,0,14090,0,2,2389,0,0,0,5444,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277,4,0,0,0,469,0,0,0,5063,0,1,1,8311,0,16313,187,424,0,0,0,0,0,1025,0,241,2495,608,0,0,0,2788,25,0,25091,0,0,0,0,0,0,0,304,56,9466,142,0,0,0,0,452,0,0,0,208,10,0,0,0,0,14,28467,0,985,0,1613
Mower,099,0,0,0,0,0,257,0,0,0,11,0,0,0,4,0,0,0,0,0,537,0,0,0,0,0,0,9,34,0,0,0,16,1,0,0,0,0,0,0,0,0,0,12,0,0,59,0,0,0,0,0,0,15,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,26,15,0,0,0,0,0,0,0,0,0,0,720,0,41,0,0,0,71,0,19,0,3,0,0,0,0,0,0,0,0,506,0,0,0,0,147,0,0,17,0,0,0,2,0,0,0,48,0,2045,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wright,171,0,543,0,0,1,26370,0,0,0,152,1,2543,13,222,0,7,0,506,0,87460,0,0,0,0,0,5,2,8969,48,0,223,1277,3,0,0,0,0,0,0,0,0,2337,8667,0,0,12214,0,0,1644,0,0,0,688,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,2,0,0,0,43,12,0,0,0,8,0,419,0,5171,7,0,0,4452,0,9691,1,1,0,0,0,0,0,744,45,820,1265,289,0,0,0,4281,0,0,11227,0,0,0,0,0,0,0,365,58,31350,131,0,0,0,0,149,0,0,0,535,10,1,0,0,0,1,5014,0,10585,0,1310
Clearwater,029,0,0,0,0,0,1145,0,0,0,0,0,231,0,75,0,0,0,600,0,16916,0,0,0,0,0,0,0,563,0,0,0,4187,8,0,0,0,0,0,0,0,0,175,2041,0,0,1160,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,17,0,0,0,224,0,0,0,0,0,5,2,3083,0,3046,11,1,0,0,0,0,0,32,0,649,323,66,0,0,322,296,15,0,7389,0,0,0,0,33,0,0,39,59,1640,0,0,0,0,0,25,0,0,0,38,5,0,0,0,0,0,7,0,2,0,0
Nobles,105,0,0,0,0,7,17670,0,0,0,365,0,5137,0,0,0,373,0,0,0,429,0,0,0,0,65,0,0,88,0,0,17,29,0,0,0,0,0,0,0,2,0,0,1244,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,203,0,0,0,38,3,0,0,0,0,0,2379,0,1488,0,0,0,376,0,305,0,0,0,0,0,0,0,0,12,0,423,0,0,0,0,104,0,0,2903,0,0,0,0,0,0,0,181,0,3183,316,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,6250,0,8
Pine,115,0,47,0,0,0,2310,0,0,0,503,111,7512,0,153,0,0,31,809,6,20344,0,0,0,0,1554,0,196,508,0,350,300,32,0,0,0,0,0,0,0,0,0,645,1123,0,0,2595,0,0,0,0,0,0,204,0,0,0,0,0,18,0,27,0,0,0,459,10,0,0,1,2,0,0,0,0,38,14,0,0,0,0,0,319,3,97,27,16,0,1585,0,9499,6848,229,0,0,0,0,0,20,930,325,622,279,0,0,29,221,0,0,6237,0,0,0,0,22,0,0,1410,32,16521,0,0,0,0,0,108,0,261,0,2,1,103,0,0,0,16,0,0,37,0,928
Rice,131,0,695,0,0,0,32406,0,0,0,113,0,33,0,1,0,3,0,30,1,20359,0,0,0,0,3410,0,0,1471,0,0,0,117,2,0,1,0,0,0,0,0,0,83,2210,0,0,1869,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,43,17,0,0,0,0,0,446,0,5331,0,0,0,893,0,1618,0,2,0,0,0,0,0,0,575,3,430,493,0,0,0,65,0,0,5913,0,0,0,0,0,0,0,430,12,11485,192,0,0,0,0,19,0,0,0,0,30,755,0,0,0,0,0,0,1588,0,972
Nicollet,103,0,0,0,0,0,17677,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5025,0,0
Morrison,097,0,1401,0,0,0,2714,0,0,0,0,0,347,299,348,0,0,0,3956,1,46341,0,0,0,0,0,0,1,4359,45,0,0,454,1,0,0,0,0,0,0,0,0,4922,7778,0,0,5049,0,0,315,0,0,0,3713,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,278,34,0,0,0,131,0,0,0,59,0,0,2,8673,0,6612,428,35,0,0,0,0,0,1522,1,510,998,1628,0,0,0,3233,104,0,10771,0,0,0,0,5923,0,0,99,116,6859,8,0,0,0,0,240,0,0,0,952,14,0,0,0,0,0,0,0,5,0,996
Brown,015,0,0,0,0,0,29057,0,0,0,229,0,0,0,0,0,0,0,1,0,14944,0,0,0,0,0,0,0,4,0,0,0,360,0,0,0,0,0,0,0,0,0,0,971,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,0,0,0,0,0,0,483,0,0,0,1,0,282,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,114,0,0,965,0,0,0,0,0,0,0,42,0,6855,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2279,0,0
Clay,027,0,0,0,0,0,3463,0,0,0,8,0,0,0,0,0,0,0,865,0,2763,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,161,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,149,0,308,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,18,0,0,979,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
Redwood,127,0,0,0,0,0,103,0,0,0,42,17,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,13,0,0,0,21,0,0,0,0,0,0,0,0,0,2209,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,0,384,0,0,0,0,1,0,0,0,0,0,11,0,85,0,0,0,10,0,16,0,46,0,0,0,0,0,0,0,0,47,0,0,0,0,14,0,0,77,0,8,0,0,0,0,0,0,0,315,3,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0
Mahnomen,087,0,0,0,0,0,500,0,0,0,0,0,11,0,0,0,0,0,767,30,8046,0,0,0,0,0,110,0,2356,0,0,0,349,13,0,0,0,0,0,0,0,0,2238,992,0,0,1230,0,0,5,0,0,0,225,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,9,0,0,0,239,0,0,0,7,0,0,0,2749,0,2054,0,0,0,0,0,0,0,8,0,95,524,0,0,0,0,676,0,0,3837,0,0,0,0,0,0,0,3,53,1510,0,0,0,0,0,136,0,0,0,2,5,0,0,0,0,0,829,0,6,0,150
